feature,importance,gene_symbol,gene_name
XP_003960903,0.0010490332497283816,,PREDICTED: aldo-keto reductase family 1 member C2-like isoform 3
NP_000822,0.0010388958035036922,GRIK3,"glutamate receptor ionotropic, kainate 3 precursor"
NP_789793,0.0010376092977821827,S100A7A,protein S100-A7A
NP_003801,0.0010370983509346843,TNFSF10,tumor necrosis factor ligand superfamily member 10 isoform 1
NP_001344,0.0010329493088647723,AKR1C1,aldo-keto reductase family 1 member C1
NP_056127,0.0010300559224560857,KIAA1109,uncharacterized protein KIAA1109
NP_000325,0.0010252109495922923,SCN4A,sodium channel protein type 4 subunit alpha
NP_277047,0.0010230578482151031,TSPYL5,testis-specific Y-encoded-like protein 5
NP_001007249,0.0010228474857285619,ZNF599,zinc finger protein 599
NP_000415,0.0010206965962424874,KRT5,"keratin, type II cytoskeletal 5"
NP_778238,0.0010195090435445309,KRT73,"keratin, type II cytoskeletal 73"
NP_002956,0.0010191008914262056,S100A9,protein S100-A9
NP_001153173,0.001005950733087957,FHL1,four and a half LIM domains protein 1 isoform 3 precursor
NP_008929,0.001002130564302206,SCGN,secretagogin
NP_055514,0.000995740876533091,ZNF646,zinc finger protein 646
NP_036233,0.000994124566204846,TRIM29,tripartite motif-containing protein 29
NP_000413,0.0009914274560287595,,"keratin, type I cytoskeletal 17"
NP_008886,0.0009866119362413883,ZNF33B,zinc finger protein 33B
NP_004516,0.0009861470898613334,LRP2,low-density lipoprotein receptor-related protein 2 precursor
NP_001177836,0.0009816300589591265,,3-oxo-5-beta-steroid 4-dehydrogenase isoform 3
NP_001257513,0.0009815176017582417,,IQ and AAA domain-containing protein 1 isoform 2
NP_060034,0.0009725093841552734,STAB2,stabilin-2 precursor
NP_000175,0.0009713811450637877,HBG2,hemoglobin subunit gamma-2
NP_000661,0.000969242537394166,ADH4,alcohol dehydrogenase 4
NP_005172,0.0009673344320617616,CA3,carbonic anhydrase 3
NP_006762,0.0009672465384937823,KRT38,"keratin, type I cuticular Ha8"
NP_000329,0.0009660906507633626,SLC12A1,solute carrier family 12 member 1 isoform A
NP_940887,0.0009658046183176339,TPRG1,tumor protein p63-regulated gene 1 protein
NP_002414,0.0009656834881752729,MMP7,matrilysin preproprotein
NP_694566,0.0009619671036489308,PLB1,"phospholipase B1, membrane-associated isoform 1 precursor"
NP_001230696,0.0009610176784917712,,transcription factor BTF3 homolog 4 isoform 3
NP_008874,0.0009600744815543294,SOX12,transcription factor SOX-12
NP_000291,0.0009528522496111691,PLA2G2A,"phospholipase A2, membrane associated precursor"
NP_001171891,0.0009444038732908666,,retrotransposon-derived protein PEG10 isoform 6
NP_665910,0.0009436901309527457,HMGA1,high mobility group protein HMG-I/HMG-Y isoform b
NP_001036249,0.0009385585435666144,CCDC158,coiled-coil domain-containing protein 158
NP_002271,0.0009358602692373097,KRT35,"keratin, type I cuticular Ha5"
NP_061889,0.0009347271989099681,KRT24,"keratin, type I cytoskeletal 24"
NP_001290,0.000933346978854388,CNN1,calponin-1
NP_001020775,0.0009305417188443244,ARRDC2,arrestin domain-containing protein 2 isoform 2
NP_000161,0.0009291303576901555,GLDC,glycine dehydrogenase
